REPORT_DATE,NEIGHBOURHOOD_158,INJURIES,DEATH
2020-01-04,Yorkdale-Glen Park (31),0,0
2014-07-27,Mount Olive-Silverstone-Jamestown (2),0,0
2009-06-24,York University Heights (27),0,0
2014-11-20,Black Creek (24),1,0
2017-03-11,Humber Summit (21),1,0
2017-12-19,Yorkdale-Glen Park (31),3,0
2007-05-19,York University Heights (27),1,0
2019-11-22,Regent Park (72),3,1
2022-10-16,West Humber-Clairville (1),1,0
2005-05-01,Yorkdale-Glen Park (31),0,1
2017-08-07,Black Creek (24),0,0
2005-06-27,Malvern East (146),1,0
2015-05-06,Englemount-Lawrence (32),3,0
2020-02-28,Malvern East (146),0,0
2014-12-01,York University Heights (27),1,0
2023-09-20,Mount Olive-Silverstone-Jamestown (2),1,0
2013-07-18,Malvern East (146),3,0
2014-11-08,Englemount-Lawrence (32),0,0
2004-05-31,Humber Summit (21),0,0
2019-06-19,Humber Summit (21),1,0
2013-04-21,Glenfield-Jane Heights (25),0,0
2010-10-24,Black Creek (24),0,0
2020-04-30,Englemount-Lawrence (32),2,0
2013-07-22,Malvern East (146),1,1
2023-06-03,West Humber-Clairville (1),0,0
2022-12-16,Mount Olive-Silverstone-Jamestown (2),1,0
2015-01-28,Mount Olive-Silverstone-Jamestown (2),1,0
2005-06-20,Yorkdale-Glen Park (31),0,0
2012-06-27,Humber Summit (21),1,0
2017-02-09,West Humber-Clairville (1),1,0
2019-06-18,Glenfield-Jane Heights (25),1,0
2017-01-28,Black Creek (24),1,0
2021-06-23,Mount Olive-Silverstone-Jamestown (2),3,1
2012-06-07,Glenfield-Jane Heights (25),1,0
2010-06-15,West Humber-Clairville (1),1,0
2014-05-25,Regent Park (72),1,0
2022-11-15,Black Creek (24),0,0
2020-01-24,Mount Olive-Silverstone-Jamestown (2),0,0
2015-03-18,Humber Summit (21),0,0
2008-02-02,Glenfield-Jane Heights (25),2,0
2019-06-26,Black Creek (24),3,0
2022-12-17,Black Creek (24),0,0
2018-06-13,Englemount-Lawrence (32),1,0
2011-04-22,Malvern East (146),0,0
2014-05-01,West Humber-Clairville (1),0,0
2019-09-26,West Humber-Clairville (1),2,0
2021-10-28,West Humber-Clairville (1),1,0
2020-03-24,Humber Summit (21),2,0
2023-07-28,Mount Olive-Silverstone-Jamestown (2),1,0
2013-01-07,Black Creek (24),2,0
2014-11-02,Black Creek (24),0,0
2013-01-13,West Humber-Clairville (1),1,0
2012-08-09,Regent Park (72),0,0
2013-01-23,Regent Park (72),3,0
2006-02-20,Englemount-Lawrence (32),1,0
2005-03-07,Englemount-Lawrence (32),0,0
2007-09-06,Glenfield-Jane Heights (25),1,0
2009-09-04,Englemount-Lawrence (32),2,0
2006-12-05,Humber Summit (21),0,0
2008-04-07,Englemount-Lawrence (32),3,0
2011-07-13,York University Heights (27),2,0
2004-09-12,Malvern East (146),1,0
2015-04-27,Yorkdale-Glen Park (31),2,0
2016-02-09,Regent Park (72),1,0
2004-02-14,Regent Park (72),5,0
2007-08-19,Mount Olive-Silverstone-Jamestown (2),1,0
2021-09-23,Mount Olive-Silverstone-Jamestown (2),1,0
2023-11-20,Mount Olive-Silverstone-Jamestown (2),2,0
2019-11-23,Englemount-Lawrence (32),0,0
2017-06-24,Glenfield-Jane Heights (25),0,0
2012-08-20,Yorkdale-Glen Park (31),0,0
2023-03-02,Yorkdale-Glen Park (31),2,0
2021-12-01,Regent Park (72),1,0
2019-10-17,Glenfield-Jane Heights (25),0,1
2019-01-23,Regent Park (72),2,0
2014-12-04,Yorkdale-Glen Park (31),4,0
2015-08-25,Regent Park (72),2,0
2008-08-28,Glenfield-Jane Heights (25),0,0
2011-12-05,West Humber-Clairville (1),1,0
2006-04-07,Malvern East (146),1,1
2022-06-02,Malvern East (146),0,0
2019-10-13,Regent Park (72),1,0
2017-06-27,Glenfield-Jane Heights (25),0,0
2015-10-07,York University Heights (27),0,0
2023-05-21,York University Heights (27),0,0
2007-10-03,Black Creek (24),1,0
2019-07-09,Malvern East (146),0,0
2021-12-30,Malvern East (146),1,0
2021-01-17,York University Heights (27),1,0
2021-03-19,Black Creek (24),0,0
2018-01-12,Malvern East (146),0,0
2006-02-02,Yorkdale-Glen Park (31),3,0
2019-12-19,Humber Summit (21),1,0
2015-06-16,West Humber-Clairville (1),0,0
2012-09-01,Humber Summit (21),1,0
2011-12-14,Black Creek (24),1,1
2018-09-27,Mount Olive-Silverstone-Jamestown (2),1,1
2018-06-26,Englemount-Lawrence (32),2,0
2006-06-05,Black Creek (24),0,0
2006-01-25,Yorkdale-Glen Park (31),0,0
2006-10-25,Malvern East (146),0,0
2015-08-08,Mount Olive-Silverstone-Jamestown (2),1,1
2015-02-16,Regent Park (72),0,0
2017-08-04,Yorkdale-Glen Park (31),3,0
2007-10-10,York University Heights (27),0,0
2015-03-23,Humber Summit (21),0,0
2015-04-23,Mount Olive-Silverstone-Jamestown (2),1,0
2018-08-04,West Humber-Clairville (1),0,0
2022-12-13,Mount Olive-Silverstone-Jamestown (2),1,0
2016-08-24,Malvern East (146),0,0
2014-02-28,Englemount-Lawrence (32),0,0
2019-03-14,Regent Park (72),1,1
2014-07-09,Mount Olive-Silverstone-Jamestown (2),0,0
2013-03-07,Glenfield-Jane Heights (25),0,0
2021-05-18,Glenfield-Jane Heights (25),0,0
2017-10-30,Yorkdale-Glen Park (31),1,0
2018-08-23,Humber Summit (21),0,0
2020-12-10,Mount Olive-Silverstone-Jamestown (2),0,0
2021-07-17,Yorkdale-Glen Park (31),0,0
2012-02-08,York University Heights (27),1,0
2012-01-27,Malvern East (146),1,0
2007-09-24,West Humber-Clairville (1),2,0
2004-12-23,Glenfield-Jane Heights (25),3,0
2012-06-30,Englemount-Lawrence (32),1,0
2015-12-02,Yorkdale-Glen Park (31),1,0
2018-05-31,York University Heights (27),0,0
2006-06-05,York University Heights (27),2,0
2023-01-21,Yorkdale-Glen Park (31),0,0
2014-05-11,Malvern East (146),0,0
2023-01-23,Humber Summit (21),2,0
2006-07-02,Englemount-Lawrence (32),0,0
2012-02-17,West Humber-Clairville (1),3,0
2011-10-16,Yorkdale-Glen Park (31),2,1
2007-05-19,West Humber-Clairville (1),0,1
2021-01-03,Glenfield-Jane Heights (25),0,0
2018-12-21,Malvern East (146),1,1
2016-07-08,York University Heights (27),0,0
2008-04-30,Humber Summit (21),1,0
2011-01-15,Black Creek (24),2,0
2010-06-17,Mount Olive-Silverstone-Jamestown (2),0,0
2004-01-01,Yorkdale-Glen Park (31),1,0
2023-03-07,Mount Olive-Silverstone-Jamestown (2),0,0
2014-02-26,York University Heights (27),0,0
2022-03-08,Mount Olive-Silverstone-Jamestown (2),3,0
2012-07-20,Humber Summit (21),1,0
2008-03-22,Malvern East (146),3,0
2018-07-22,Regent Park (72),1,0
2013-06-27,York University Heights (27),0,0
2013-03-17,Regent Park (72),2,1
2008-11-26,West Humber-Clairville (1),0,0
2013-06-25,West Humber-Clairville (1),2,0
2013-02-08,Yorkdale-Glen Park (31),1,0
2023-10-04,Humber Summit (21),0,0
2022-02-17,Englemount-Lawrence (32),1,0
2021-01-03,West Humber-Clairville (1),1,0
2019-11-16,Englemount-Lawrence (32),1,0
2007-09-17,Glenfield-Jane Heights (25),2,0
2006-10-01,York University Heights (27),2,0
2016-04-16,Regent Park (72),4,0
2014-05-01,Malvern East (146),1,1
2010-03-18,Humber Summit (21),0,1
2006-09-16,York University Heights (27),0,0
2011-07-15,West Humber-Clairville (1),4,0
2015-03-13,Regent Park (72),3,0
2016-01-16,Malvern East (146),3,0
2021-03-17,West Humber-Clairville (1),1,0
2004-03-11,Regent Park (72),2,0
2011-07-13,Regent Park (72),1,0
2008-01-21,Yorkdale-Glen Park (31),0,0
2020-10-24,Englemount-Lawrence (32),1,0
2008-10-08,Englemount-Lawrence (32),3,0
2008-11-23,Humber Summit (21),1,0
2010-09-16,Yorkdale-Glen Park (31),1,0
2023-07-01,Yorkdale-Glen Park (31),0,0
2008-07-03,Humber Summit (21),1,0
2009-04-25,Black Creek (24),2,0
2014-07-24,West Humber-Clairville (1),1,0
2005-03-10,West Humber-Clairville (1),2,0
2009-02-01,Mount Olive-Silverstone-Jamestown (2),1,0
2019-01-04,Mount Olive-Silverstone-Jamestown (2),1,0
2013-12-14,Yorkdale-Glen Park (31),1,0
2022-09-29,Englemount-Lawrence (32),0,0
2015-03-12,West Humber-Clairville (1),1,0
2004-06-13,Humber Summit (21),1,0
2004-12-31,Regent Park (72),2,1
2006-11-07,Englemount-Lawrence (32),0,1
2014-04-10,York University Heights (27),1,0
2021-09-12,Glenfield-Jane Heights (25),1,0
2011-10-25,Yorkdale-Glen Park (31),0,0
2006-02-21,York University Heights (27),0,0
2008-09-08,Malvern East (146),1,0
2020-08-29,Humber Summit (21),2,0
2017-12-18,Malvern East (146),1,1
2017-07-31,Black Creek (24),0,0
2020-05-25,Yorkdale-Glen Park (31),2,0
2013-07-27,Glenfield-Jane Heights (25),0,0
2011-11-15,Yorkdale-Glen Park (31),1,0
2006-07-18,Humber Summit (21),1,0
2004-12-11,York University Heights (27),0,0
2016-08-30,Mount Olive-Silverstone-Jamestown (2),0,0
2013-08-25,York University Heights (27),0,0
2012-03-22,Mount Olive-Silverstone-Jamestown (2),0,0
2004-02-04,Yorkdale-Glen Park (31),0,0
2004-07-16,Black Creek (24),2,0
2023-07-12,Mount Olive-Silverstone-Jamestown (2),0,0
2020-12-19,Yorkdale-Glen Park (31),3,0
2014-04-12,Englemount-Lawrence (32),1,0
2022-11-29,Glenfield-Jane Heights (25),1,0
2021-01-07,West Humber-Clairville (1),1,0
2023-09-05,Black Creek (24),2,1
2007-04-13,West Humber-Clairville (1),0,0
2023-07-13,Mount Olive-Silverstone-Jamestown (2),0,0
2021-02-17,Glenfield-Jane Heights (25),3,0
2015-02-22,Yorkdale-Glen Park (31),3,0
2022-09-07,York University Heights (27),1,0
2005-02-01,Yorkdale-Glen Park (31),1,0
2008-04-13,Glenfield-Jane Heights (25),1,0
2014-07-17,West Humber-Clairville (1),0,0
2006-08-13,Glenfield-Jane Heights (25),2,0
2020-11-15,Regent Park (72),1,0
2022-02-03,West Humber-Clairville (1),1,1
2018-08-30,York University Heights (27),0,0
2015-02-07,York University Heights (27),2,0
2023-07-27,Regent Park (72),1,0
2007-04-17,West Humber-Clairville (1),0,0
2011-12-14,Yorkdale-Glen Park (31),1,0
2004-09-25,Yorkdale-Glen Park (31),1,0
2012-08-13,Glenfield-Jane Heights (25),2,0
2009-04-09,Mount Olive-Silverstone-Jamestown (2),2,0
2006-04-14,Regent Park (72),0,1
2007-01-20,Englemount-Lawrence (32),0,0
2013-07-31,Mount Olive-Silverstone-Jamestown (2),0,0
2005-05-06,York University Heights (27),1,0
2012-06-17,Glenfield-Jane Heights (25),1,0
2023-08-27,West Humber-Clairville (1),1,0
2018-03-10,York University Heights (27),2,0
2007-10-11,Regent Park (72),0,0
2016-04-28,York University Heights (27),3,0
2020-07-01,Englemount-Lawrence (32),1,0
2015-08-21,West Humber-Clairville (1),3,1
2010-04-24,Malvern East (146),1,0
2007-06-29,Mount Olive-Silverstone-Jamestown (2),2,0
2021-11-20,Mount Olive-Silverstone-Jamestown (2),3,0
2008-11-01,West Humber-Clairville (1),0,0
2021-06-11,Glenfield-Jane Heights (25),0,0
2023-01-27,Black Creek (24),2,0
2005-05-20,West Humber-Clairville (1),1,0
2009-09-26,York University Heights (27),2,0
2007-11-06,Mount Olive-Silverstone-Jamestown (2),2,0
2005-10-29,Humber Summit (21),0,0
2017-05-24,Malvern East (146),0,0
2010-02-21,Englemount-Lawrence (32),0,0
2022-09-07,Glenfield-Jane Heights (25),0,0
2010-09-02,Humber Summit (21),0,0
2008-07-05,West Humber-Clairville (1),1,0
2007-01-23,Malvern East (146),1,0
2010-04-17,York University Heights (27),0,0
2008-06-30,Black Creek (24),1,0
2014-10-26,York University Heights (27),1,0
2006-10-13,Humber Summit (21),0,0
2012-10-13,Englemount-Lawrence (32),1,0
2010-07-14,Black Creek (24),0,0
2014-07-21,Humber Summit (21),1,0
2011-03-04,Yorkdale-Glen Park (31),1,0
2018-08-15,Black Creek (24),0,0
2009-08-26,Regent Park (72),0,0
2008-01-08,Black Creek (24),0,0
2005-07-06,Regent Park (72),1,0
2010-04-05,Mount Olive-Silverstone-Jamestown (2),0,0
2021-09-23,Black Creek (24),2,1
2011-01-01,Regent Park (72),0,0
2018-02-27,Regent Park (72),0,1
2017-02-27,Malvern East (146),1,0
2010-05-03,Regent Park (72),1,0
2008-08-05,Glenfield-Jane Heights (25),0,0
2021-05-15,York University Heights (27),1,0
2017-12-19,West Humber-Clairville (1),1,0
2018-12-11,Glenfield-Jane Heights (25),0,0
2005-10-12,Glenfield-Jane Heights (25),2,0
2022-04-24,Glenfield-Jane Heights (25),2,0
2020-09-01,Mount Olive-Silverstone-Jamestown (2),3,1
2016-11-25,Mount Olive-Silverstone-Jamestown (2),2,0
2008-12-19,Mount Olive-Silverstone-Jamestown (2),1,0
2015-04-05,York University Heights (27),2,0
2019-10-18,Mount Olive-Silverstone-Jamestown (2),0,0
2019-04-07,Mount Olive-Silverstone-Jamestown (2),0,0
2019-06-20,Regent Park (72),1,0
2014-12-05,Yorkdale-Glen Park (31),0,0
2021-02-05,Yorkdale-Glen Park (31),1,0
2020-05-12,Regent Park (72),1,0
2021-01-05,West Humber-Clairville (1),1,0
2008-02-21,Malvern East (146),1,0
2015-06-07,York University Heights (27),3,0
2016-12-21,West Humber-Clairville (1),4,0
2016-09-02,West Humber-Clairville (1),1,0
2014-06-18,Yorkdale-Glen Park (31),3,0
2006-04-09,Yorkdale-Glen Park (31),1,0
2017-01-21,Malvern East (146),0,0
2023-09-13,Regent Park (72),0,0
2016-05-12,West Humber-Clairville (1),0,0
2004-06-02,Glenfield-Jane Heights (25),0,0
2014-03-01,York University Heights (27),1,0
2015-06-17,Malvern East (146),0,0
2018-10-10,Regent Park (72),3,0
2009-05-15,Black Creek (24),1,0
2016-03-29,Regent Park (72),0,0
2009-06-27,Black Creek (24),0,0
2014-10-16,Englemount-Lawrence (32),0,1
2016-12-11,Glenfield-Jane Heights (25),2,0
2016-11-14,Malvern East (146),3,0
2009-08-21,Yorkdale-Glen Park (31),0,0
2015-02-16,Humber Summit (21),3,1
2022-03-02,Mount Olive-Silverstone-Jamestown (2),0,0
2012-10-17,York University Heights (27),1,0
2014-08-25,Malvern East (146),0,0
2017-11-03,Yorkdale-Glen Park (31),0,1
2022-04-24,Black Creek (24),1,0
2004-05-31,Yorkdale-Glen Park (31),0,0
2020-11-04,Black Creek (24),1,0
2014-03-31,West Humber-Clairville (1),2,0
2004-12-17,Black Creek (24),1,0
2005-12-06,Malvern East (146),4,0
2005-01-18,Mount Olive-Silverstone-Jamestown (2),0,1
2015-12-31,Black Creek (24),1,0
2009-10-08,Glenfield-Jane Heights (25),0,1
2014-01-22,Malvern East (146),0,0
2021-11-04,Humber Summit (21),0,1
2017-03-25,Yorkdale-Glen Park (31),1,0
2010-09-20,West Humber-Clairville (1),2,0
2020-07-27,Regent Park (72),1,0
2007-05-10,Regent Park (72),0,1
2008-09-02,Regent Park (72),0,0
2017-01-06,Black Creek (24),0,0
2014-11-27,West Humber-Clairville (1),1,1
2014-06-19,Yorkdale-Glen Park (31),3,1
2007-04-05,Malvern East (146),2,0
2011-04-09,Englemount-Lawrence (32),1,0
2013-03-31,Englemount-Lawrence (32),1,0
2006-07-03,Yorkdale-Glen Park (31),2,0
2021-03-07,York University Heights (27),1,0
2018-07-04,Yorkdale-Glen Park (31),1,0
2010-01-19,Malvern East (146),1,0
2013-03-15,Regent Park (72),3,0
2006-07-13,Yorkdale-Glen Park (31),1,0
2008-05-31,Humber Summit (21),1,0
2022-02-22,Regent Park (72),1,0
2008-01-31,Black Creek (24),0,0
2018-11-12,Englemount-Lawrence (32),2,0
2021-06-13,West Humber-Clairville (1),4,0
2004-11-18,Regent Park (72),1,0
2009-02-23,Glenfield-Jane Heights (25),2,0
2021-05-27,York University Heights (27),0,0
2010-06-14,Black Creek (24),1,0
2007-12-18,West Humber-Clairville (1),2,0
2019-10-13,Englemount-Lawrence (32),1,0
2005-04-11,York University Heights (27),2,0
2016-07-23,Black Creek (24),1,0
2020-05-17,Glenfield-Jane Heights (25),1,0
2013-05-30,Humber Summit (21),0,0
2021-03-20,York University Heights (27),0,0
2010-04-22,Mount Olive-Silverstone-Jamestown (2),3,0
2021-02-01,West Humber-Clairville (1),3,0
2019-06-19,Glenfield-Jane Heights (25),1,0
2018-09-30,Humber Summit (21),0,0
2007-07-17,West Humber-Clairville (1),2,0
2019-01-01,Black Creek (24),0,0
2021-04-05,Humber Summit (21),1,0
2005-11-04,West Humber-Clairville (1),3,0
2009-06-06,Englemount-Lawrence (32),1,0
2021-03-13,Malvern East (146),0,0
2020-01-14,Regent Park (72),2,1
2012-01-19,Malvern East (146),0,0
2012-12-20,Humber Summit (21),0,0
2017-05-07,Humber Summit (21),0,0
2018-10-24,Black Creek (24),0,0
2023-11-28,Black Creek (24),0,0
2007-04-25,Regent Park (72),1,0
2006-11-22,Mount Olive-Silverstone-Jamestown (2),2,0
2021-06-21,Mount Olive-Silverstone-Jamestown (2),0,0
2012-03-05,Regent Park (72),2,0
2015-07-15,York University Heights (27),2,0
2022-12-14,York University Heights (27),1,0
2020-04-25,Black Creek (24),1,0
2017-04-29,Yorkdale-Glen Park (31),0,0
2022-06-06,Yorkdale-Glen Park (31),0,0
2004-10-29,Malvern East (146),0,0
2009-08-23,Humber Summit (21),1,0
2011-03-19,Glenfield-Jane Heights (25),0,0
2005-03-08,Regent Park (72),1,0
2010-09-26,York University Heights (27),0,0
2005-02-25,West Humber-Clairville (1),1,0
2021-06-19,Glenfield-Jane Heights (25),1,0
2007-07-22,Black Creek (24),0,0
2004-02-18,Mount Olive-Silverstone-Jamestown (2),2,0
2013-02-15,Malvern East (146),0,0
2018-11-27,York University Heights (27),0,0
2008-11-11,Yorkdale-Glen Park (31),1,0
2015-10-21,Regent Park (72),1,0
2010-04-20,Regent Park (72),2,0
2015-08-10,Mount Olive-Silverstone-Jamestown (2),0,0
2016-06-18,Yorkdale-Glen Park (31),2,0
2009-03-13,West Humber-Clairville (1),1,0
2020-01-17,Yorkdale-Glen Park (31),0,0
2023-02-19,Humber Summit (21),0,0
2011-05-10,Englemount-Lawrence (32),1,0
2008-09-21,Yorkdale-Glen Park (31),2,0
2023-10-24,Black Creek (24),1,0
2006-09-29,West Humber-Clairville (1),2,0
2007-02-17,West Humber-Clairville (1),0,1
2023-09-15,Malvern East (146),0,0
2012-03-07,Humber Summit (21),0,0
2009-08-07,Humber Summit (21),2,0
2022-07-16,Malvern East (146),0,0
2019-08-09,Malvern East (146),0,0
2016-10-19,Mount Olive-Silverstone-Jamestown (2),0,0
2017-12-16,Humber Summit (21),1,0
2018-04-12,Black Creek (24),2,0
2019-04-20,Humber Summit (21),2,1
2011-07-02,Regent Park (72),1,0
2015-05-28,Englemount-Lawrence (32),2,0
2017-06-06,Englemount-Lawrence (32),2,1
2015-12-20,Mount Olive-Silverstone-Jamestown (2),0,0
2020-02-08,York University Heights (27),0,0
2004-03-15,York University Heights (27),1,0
2021-08-18,Englemount-Lawrence (32),0,0
2010-09-18,Malvern East (146),0,1
2006-01-10,Glenfield-Jane Heights (25),0,0
2012-07-26,Malvern East (146),2,0
2009-10-31,Mount Olive-Silverstone-Jamestown (2),2,0
2016-01-12,Glenfield-Jane Heights (25),0,0
2023-10-31,Regent Park (72),1,0
2014-11-25,Mount Olive-Silverstone-Jamestown (2),2,0
2011-03-11,York University Heights (27),1,0
2006-03-26,Englemount-Lawrence (32),2,0
2011-01-23,Yorkdale-Glen Park (31),1,0
2021-07-09,Humber Summit (21),0,0
2022-06-20,Mount Olive-Silverstone-Jamestown (2),2,0
2007-03-01,Humber Summit (21),2,1
2023-08-20,Mount Olive-Silverstone-Jamestown (2),1,0
2012-03-27,West Humber-Clairville (1),0,0
2010-03-14,Humber Summit (21),0,1
2017-04-22,Malvern East (146),1,0
2007-01-09,Yorkdale-Glen Park (31),0,1
2017-03-13,Englemount-Lawrence (32),1,0
2022-04-27,Glenfield-Jane Heights (25),0,0
2011-05-28,York University Heights (27),2,0
2004-09-05,Englemount-Lawrence (32),0,0
2023-10-14,West Humber-Clairville (1),2,0
2022-05-30,Regent Park (72),2,0
2014-06-01,Malvern East (146),1,0
2007-03-06,Regent Park (72),0,0
2017-05-26,Yorkdale-Glen Park (31),1,0
2010-06-02,Black Creek (24),0,1
2016-05-07,Glenfield-Jane Heights (25),0,0
2008-04-19,Humber Summit (21),0,0
2009-10-21,West Humber-Clairville (1),1,0
2015-02-18,Englemount-Lawrence (32),2,0
2013-02-04,Regent Park (72),1,0
2020-07-28,Englemount-Lawrence (32),1,0
2022-06-12,Malvern East (146),1,0
2006-07-01,Black Creek (24),1,1
2013-05-28,Malvern East (146),0,1
2015-09-10,Humber Summit (21),2,0
2019-09-03,Malvern East (146),1,0
2004-08-21,Regent Park (72),0,0
2018-10-05,Black Creek (24),0,1
2017-12-06,Humber Summit (21),1,0
2015-02-21,Mount Olive-Silverstone-Jamestown (2),0,0
2018-05-29,Yorkdale-Glen Park (31),0,1
2007-10-02,Yorkdale-Glen Park (31),1,0
2010-01-06,Malvern East (146),0,1
2023-12-30,Yorkdale-Glen Park (31),1,0
2015-03-04,West Humber-Clairville (1),1,0
2004-08-01,Regent Park (72),2,0
2007-05-06,Black Creek (24),0,0
2017-04-30,Humber Summit (21),2,0
2010-11-26,Englemount-Lawrence (32),3,0
2019-06-11,Humber Summit (21),1,0
2008-12-27,Humber Summit (21),3,1
2015-02-25,Yorkdale-Glen Park (31),2,0
2009-10-15,Yorkdale-Glen Park (31),3,0
2010-10-08,York University Heights (27),0,0
2012-06-30,Black Creek (24),2,0
2010-06-14,Humber Summit (21),0,0
2020-11-18,Englemount-Lawrence (32),0,1
2014-01-13,Yorkdale-Glen Park (31),0,0
2009-06-28,Black Creek (24),2,0
2004-11-09,Englemount-Lawrence (32),1,0
2007-12-01,Humber Summit (21),2,0
2010-12-27,York University Heights (27),2,0
2007-02-12,Englemount-Lawrence (32),2,0
2011-10-11,West Humber-Clairville (1),2,0
2016-01-07,Black Creek (24),2,0
2019-07-02,Glenfield-Jane Heights (25),3,0
2005-11-08,Regent Park (72),1,0
2009-07-16,Regent Park (72),1,0
2019-10-12,Englemount-Lawrence (32),0,0
2005-05-16,Regent Park (72),1,0
2005-12-21,Glenfield-Jane Heights (25),2,1
2006-06-02,Glenfield-Jane Heights (25),0,0
2019-08-11,Glenfield-Jane Heights (25),2,0
2007-03-23,Yorkdale-Glen Park (31),1,0
2009-09-17,Mount Olive-Silverstone-Jamestown (2),0,0
2021-10-13,Yorkdale-Glen Park (31),1,0
2008-07-19,Black Creek (24),2,0
2014-06-11,York University Heights (27),1,0
2009-06-04,Malvern East (146),0,0
2004-12-18,Englemount-Lawrence (32),0,0
2019-09-25,Malvern East (146),0,0
2004-11-23,Humber Summit (21),0,0
2023-09-02,Malvern East (146),1,0
2013-06-13,York University Heights (27),0,0
2011-12-19,Englemount-Lawrence (32),3,1
2014-09-22,Malvern East (146),3,1
2016-04-30,Yorkdale-Glen Park (31),1,0
2021-03-10,Humber Summit (21),1,0
2004-07-13,Yorkdale-Glen Park (31),1,0
2020-07-23,Mount Olive-Silverstone-Jamestown (2),0,0
2011-08-07,Malvern East (146),1,0
2010-03-04,Glenfield-Jane Heights (25),0,0
2008-02-07,Englemount-Lawrence (32),0,0
2007-07-27,York University Heights (27),1,0
2016-11-07,Malvern East (146),0,0
2017-08-24,Humber Summit (21),0,0
2015-05-04,Malvern East (146),0,0
2004-01-27,Black Creek (24),1,1
2019-02-06,Glenfield-Jane Heights (25),1,0
2006-12-08,Humber Summit (21),1,0
2018-05-22,West Humber-Clairville (1),1,0
2013-01-09,Regent Park (72),2,0
2006-05-03,Malvern East (146),1,1
2011-04-11,Englemount-Lawrence (32),1,0
2017-09-05,Mount Olive-Silverstone-Jamestown (2),2,0
2004-03-17,Yorkdale-Glen Park (31),1,0
2019-12-30,Yorkdale-Glen Park (31),1,0
2011-04-08,Black Creek (24),4,0
2023-05-06,Malvern East (146),1,0
2009-08-29,York University Heights (27),2,0
2019-11-06,Black Creek (24),2,1
2007-04-22,Black Creek (24),1,0
2013-01-30,Englemount-Lawrence (32),1,0
2004-05-16,Humber Summit (21),0,0
2008-10-09,Regent Park (72),1,0
2017-03-13,Malvern East (146),2,0
2010-03-22,Humber Summit (21),1,1
2007-07-02,York University Heights (27),0,0
2008-05-03,West Humber-Clairville (1),0,0
2006-08-03,Glenfield-Jane Heights (25),1,0
2016-12-29,Malvern East (146),0,0
2013-12-27,Englemount-Lawrence (32),2,0
2004-12-19,Mount Olive-Silverstone-Jamestown (2),0,0
2021-05-17,Humber Summit (21),0,0
2022-02-11,York University Heights (27),1,0
2007-02-10,Black Creek (24),0,0
2021-09-09,Regent Park (72),1,0
2023-06-27,Glenfield-Jane Heights (25),1,0
2015-11-16,Glenfield-Jane Heights (25),0,0
2004-08-10,Mount Olive-Silverstone-Jamestown (2),1,0
2017-11-23,Regent Park (72),1,0
2004-08-19,Humber Summit (21),1,0
2015-04-25,Black Creek (24),1,0
2016-11-13,West Humber-Clairville (1),1,0
2004-02-18,Black Creek (24),0,0
2013-12-14,Regent Park (72),1,0
2017-11-10,Regent Park (72),0,1
2011-06-02,Regent Park (72),1,0
2022-09-10,Black Creek (24),0,0
2017-04-24,Glenfield-Jane Heights (25),2,1
2017-12-05,Malvern East (146),2,0
2020-02-24,Humber Summit (21),0,0
2021-07-27,Mount Olive-Silverstone-Jamestown (2),3,0
2022-07-27,Malvern East (146),2,0
2017-09-03,Mount Olive-Silverstone-Jamestown (2),0,0
2019-03-25,Mount Olive-Silverstone-Jamestown (2),0,0
2014-09-26,Malvern East (146),1,0
2012-12-06,Englemount-Lawrence (32),0,0
2014-10-26,Humber Summit (21),0,0
2006-03-27,Yorkdale-Glen Park (31),0,0
2011-11-25,Malvern East (146),2,0
2009-09-08,Glenfield-Jane Heights (25),1,0
2015-10-03,West Humber-Clairville (1),0,0
2017-05-31,Yorkdale-Glen Park (31),1,0
2012-11-26,Mount Olive-Silverstone-Jamestown (2),1,0
2022-08-26,Black Creek (24),0,0
2020-03-21,Englemount-Lawrence (32),0,0
2021-05-03,Black Creek (24),1,0
2017-08-13,Humber Summit (21),3,0
2010-10-09,Englemount-Lawrence (32),0,0
2012-05-05,York University Heights (27),1,0
2004-06-30,Glenfield-Jane Heights (25),1,0
2010-10-09,West Humber-Clairville (1),0,0
2010-02-08,West Humber-Clairville (1),0,0
2006-08-15,Mount Olive-Silverstone-Jamestown (2),1,0
2012-07-14,Black Creek (24),2,0
2022-03-05,Malvern East (146),4,1
2019-07-04,West Humber-Clairville (1),1,0
2012-01-23,West Humber-Clairville (1),3,0
2005-11-04,Regent Park (72),0,0
2017-03-07,West Humber-Clairville (1),3,0
2007-07-13,Humber Summit (21),1,1
2017-07-03,York University Heights (27),0,1
2014-07-11,Mount Olive-Silverstone-Jamestown (2),1,0
2004-07-01,Glenfield-Jane Heights (25),2,0
2010-11-17,Regent Park (72),0,0
2022-11-18,York University Heights (27),4,0
2008-07-15,Humber Summit (21),0,1
2011-04-27,Englemount-Lawrence (32),1,0
2007-02-27,Black Creek (24),0,0
2007-12-05,Glenfield-Jane Heights (25),0,0
2007-07-02,Englemount-Lawrence (32),1,0
2020-04-15,Glenfield-Jane Heights (25),2,0
2012-10-15,Malvern East (146),0,0
2009-01-29,Yorkdale-Glen Park (31),2,0
2016-11-21,Regent Park (72),1,0
2022-06-11,Yorkdale-Glen Park (31),0,0
2023-06-12,Black Creek (24),2,0
